SIC group,Section letter,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35.1/1,D,Electricity production - gas,"2,231.5","2,351.5","2,878.7","14,952.5","21,170.3","26,243.3","34,431.0","43,116.6","45,024.9","53,715.2","53,506.5","52,143.1","54,775.8","53,523.6","57,240.2","55,483.3","52,127.5","59,129.2","63,727.3","60,606.1","63,627.8","51,062.4","34,071.5","32,420.1","35,093.4","34,453.1","50,406.7","47,977.9","45,944.4","45,748.8","38,520.0","42,516.1"
35.1/2,D,Electricity production - coal,"188,796.4","189,505.3","177,243.0","147,523.7","139,362.6","131,707.8","123,994.1","106,547.7","109,983.1","92,917.9","104,550.5","116,330.7","109,715.3","120,099.9","116,396.0","118,922.1","130,521.7","120,044.5","109,860.1","91,179.8","95,113.6","95,584.4","126,961.9","119,648.2","94,958.2","77,608.9","38,272.2","30,649.0","27,364.3","19,665.6","18,910.5","20,203.5"
35.1/3,D,Electricity production - nuclear,61.4,62.2,59.8,64.6,67.3,60.7,65.0,91.1,87.0,96.3,92.9,94.0,95.4,97.8,112.4,108.9,124.6,119.0,123.1,105.2,109.9,98.9,102.2,99.9,123.1,113.7,113.0,109.2,109.6,119.2,107.1,118.1
35.1/4,D,Electricity production - oil,"13,321.7","9,115.2","8,781.0","8,900.2","6,559.5","6,026.4","5,267.2","1,282.8",721.0,"1,077.0","1,029.5","1,356.1",869.5,821.5,632.4,"1,143.3","1,435.8",613.4,"1,110.8",607.7,274.9,160.8,172.0,147.4,160.9,142.8,141.6,132.4,126.4,129.2,142.6,178.3
35.1/5,D,Electricity production - other,751.0,781.5,970.3,"1,212.5","1,684.3","1,818.4","1,916.0","2,355.1","3,158.8","3,585.5","4,066.5","4,617.6","4,837.0","5,238.4","5,744.8","5,863.9","6,142.7","6,523.8","7,380.6","8,254.0","8,684.3","8,672.6","9,295.2","9,237.3","10,446.7","12,139.8","13,580.4","13,683.6","15,251.3","16,611.6","16,021.3","16,737.3"
35.2-3,D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,"12,476.7","12,532.6","12,551.5","12,352.6","11,881.0","12,310.5","12,298.1","11,179.5","11,854.9","11,823.1","12,769.9","12,458.3","11,857.3","11,445.4","11,055.2","11,150.5","10,161.1","9,636.6","9,433.5","9,057.1","9,287.9","8,680.5","7,983.6","7,833.5","7,661.6","7,556.6","7,559.6","7,314.8","7,033.7","7,097.0","6,609.4","6,327.6"
36,E,Natural water; water treatment and supply services,366.1,463.1,404.4,400.7,418.9,410.3,580.7,436.9,889.7,869.8,"1,122.7","1,423.7",879.4,745.5,"1,043.9","1,088.9","1,068.5",974.9,831.8,854.3,943.4,867.5,854.2,877.7,886.0,933.9,"1,063.6","1,124.7","1,187.8","1,212.5","1,362.2","1,358.8"
37,E,Sewerage services; sewage sludge,"3,295.7","3,308.5","3,378.6","3,375.3","3,430.9","3,354.1","3,386.6","3,540.3","3,456.7","3,325.9","3,110.0","2,537.3","2,582.6","2,683.4","2,684.0","2,742.3","3,098.6","3,158.3","3,018.5","2,960.7","2,954.4","3,019.0","2,927.0","2,869.7","2,987.4","2,935.0","2,793.2","2,951.5","2,945.0","2,882.9","2,743.0","2,888.0"
38,E,"Waste collection, treatment and disposal services; materials recovery services","71,564.3","72,978.8","73,081.4","73,406.7","73,699.5","74,863.0","75,162.8","73,945.5","74,588.3","69,984.8","67,312.7","65,754.6","64,435.6","60,477.9","55,535.6","52,906.4","49,286.5","45,795.5","40,744.7","36,496.0","31,664.7","29,631.7","28,374.3","25,531.4","23,511.3","23,344.2","23,252.1","24,027.0","24,266.8","23,831.2","22,439.0","22,297.4"
39,E,Remediation services and other waste management services,6.4,6.2,6.4,6.6,6.8,6.9,7.0,7.4,7.4,7.3,7.6,7.9,8.1,8.4,9.1,9.2,9.6,10.0,9.6,8.4,8.8,8.6,9.0,8.1,8.1,8.4,8.6,8.5,7.9,7.6,8.1,7.2
41,F,Buildings and building construction works,"1,264.5","1,316.0","1,332.3","1,366.0","1,421.9","1,452.1","1,517.4","1,549.7","1,589.4","1,659.3","1,696.5","1,721.3","1,708.0","1,777.5","1,819.0","1,837.7","1,834.9","1,890.5","1,883.2","1,698.4","1,740.2","1,658.7","1,688.1","1,649.2","1,636.9","1,687.7","1,778.8","1,784.9","1,787.4","1,774.5","1,463.3","1,771.1"
42,F,Constructions and construction works for civil engineering,"2,340.4","2,379.0","2,420.6","2,401.2","2,488.2","2,422.4","2,460.7","2,526.6","2,599.6","2,610.5","2,648.9","2,799.3","2,838.6","2,819.9","2,890.4","2,825.2","2,874.6","2,907.8","3,253.9","2,890.0","2,783.0","2,720.5","2,620.3","2,585.9","2,691.6","3,064.4","3,249.3","3,417.4","3,518.7","3,464.5","3,494.2","3,759.6"
43,F,Specialised construction works,"2,181.9","2,251.2","2,305.4","2,356.9","2,481.0","2,549.6","2,699.6","2,838.5","2,942.0","3,132.6","3,244.0","3,363.3","3,388.8","3,560.2","3,750.4","3,915.6","4,035.2","4,276.8","4,235.9","4,031.4","4,204.1","4,150.6","4,225.5","4,195.3","4,300.8","4,433.5","4,733.3","4,711.2","4,715.0","4,686.4","4,193.3","4,665.8"
45,G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"2,146.0","2,233.9","2,188.6","2,222.0","2,272.3","2,291.1","2,306.9","2,250.0","2,261.9","2,327.5","2,343.7","2,279.3","2,175.2","2,227.0","2,211.8","2,232.2","2,209.6","2,333.1","2,322.6","2,119.7","2,143.0","2,072.5","2,075.9","2,011.2","2,001.2","2,028.4","2,108.6","2,041.1","1,971.5","1,949.3","1,625.2","1,786.7"
46,G,"Wholesale trade services, except of motor vehicles and motorcycles","6,404.6","6,507.8","6,450.0","6,516.8","6,728.5","6,797.9","6,885.7","6,825.3","6,905.4","7,072.7","7,124.6","6,957.8","6,797.3","6,946.6","7,001.9","7,044.9","7,162.6","7,475.6","7,620.4","7,913.8","8,335.0","8,045.4","8,010.7","7,723.1","7,748.9","7,862.9","8,109.2","8,028.8","7,918.9","7,628.3","6,730.2","7,144.9"
47,G,"Retail trade services, except of motor vehicles and motorcycles","3,576.4","3,749.2","3,686.1","3,832.9","3,969.2","4,063.4","4,293.5","4,334.9","4,610.9","4,943.1","5,182.7","5,344.7","5,373.8","5,753.0","5,999.1","6,190.3","6,384.5","6,627.1","7,033.1","7,115.7","7,230.2","7,292.8","7,563.6","7,543.4","7,349.6","7,338.2","7,269.5","6,945.4","6,652.3","6,509.3","5,912.1","6,013.4"
49.1-2,H,Rail transport,"1,784.2","1,817.3","1,838.0","1,790.9","1,746.7","1,836.3","1,935.1","2,018.3","2,061.5","2,078.1","2,107.0","2,179.1","2,159.7","2,196.1","2,289.5","2,313.8","2,357.2","2,462.8","2,435.9","2,371.3","2,402.7","2,300.8","2,353.7","2,357.8","2,401.4","2,353.4","2,343.2","2,317.0","2,217.9","2,280.8","1,832.5","2,000.3"
49.31/9 + 49.39,H,"Buses, coaches, trams and similar public urban transport n.e.c","5,924.0","6,068.4","6,013.2","6,044.9","6,172.8","6,305.6","6,407.4","6,435.6","6,230.8","6,179.6","5,847.5","5,698.0","5,691.3","5,780.7","5,544.8","5,501.8","5,606.4","5,722.1","5,239.0","5,162.5","5,291.4","4,890.4","4,896.1","4,736.2","4,720.3","4,533.9","4,445.9","4,224.5","4,096.3","3,984.0","3,015.6","3,318.7"
